rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Beds,Total Bed Days Available,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Inpatient Revenue,Outpatient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
757779,500041,ST. JOHN MEDICAL CENTER,1615 DELAWARE STREET,LONGVIEW,WA,-98632,COWLITZ,31020,R,STH,1,1,2022-07-01,2023-06-30,1183.75,122,44530,7946076,6424942,9568231,31868518,143966781,205728137,10883043,255365056,427516518,704485488,1132002006,32229812,143966781,4216062,436799924,806702729,908530260,334972393,349619662,-14647269,10490653,-4156616,75256,-4231872,0.225587
757783,520009,ASCENSION NE WISCONSIN-ST. ELIZABETH,1506 SOUTH ONEIDA STREET,APPLETON,WI,54915,OUTAGAMIE,11540,U,STH,1,1,2022-07-01,2023-06-30,1043.53,287,104755,4863954,10769126,8296732,10999793,90262374,204675687,28421954,316944186,322005996,681117120,1003123116,23085599,90262374,1483442,325141570,696274263,657397758,364018075,360708895,3309180,13177283,16486463,110567,16375896,0.315957
757786,521300,ASPIRUS EAGLE RIVER HOSPITAL,201 HOSPITAL ROAD,EAGLE RIVER,WI,54521,,99952,R,CAH,1,2,2022-07-01,2023-06-30,53.39,14,5110,,640734,224735,1029677,7441350,8935495,750488,14646367,10012530,31662588,41675118,,,,,,,,16376845,-16376845,,-16376845,,-16376845,0.351442
757787,521324,ASPIRUS MEDFORD HOSPITAL AND CLINICS,135 SOUTH GIBSON STREET,MEDFORD,WI,-54451,TAYLOR,99952,R,CAH,1,2,2022-07-01,2023-06-30,311.29,25,9125,717411,1646100,1365169,3253420,30281361,62028089,3454913,66293728,25790243,140784875,166575118,,,,29389747,157185928,100561381,86014294,92309450,-6295156,17679784,11384628,,11384628,0.397981
757789,521337,ST CROIX REGIONAL MEDICAL CENTER,204 SOUTH ADAMS STREET,ST CROIX FALLS,WI,54024,POLK,99952,R,CAH,1,2,2022-07-01,2023-06-30,398.62,25,9125,203579,782523,501413,6436141,58519748,90122967,4408153,111144612,27289165,181872249,209161414,,,,25508454,213331595,130445406,108394643,148642715,-40248072,32652652,-7595420,161104,-7756524,0.531382
757796,34031,QUAIL RUN BEHAVIORAL HEALTH,2545 WEST QUAIL AVENUE,PHOENIX,AZ,85027,MARICOPA,38060,U,PH,4,4,2022-06-01,2023-05-31,203,116,42340,,,,,13600722,12983262,831337,23295724,60546200,2331600,62877800,,,,60546200,2331600,40265685,22612115,21436187,1175928,42234,1218162,,1218162,
757797,40007,ST VINCENT INFIRMARY MEDICAL CENTER,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,30780,U,STH,1,1,2022-07-01,2023-06-30,1652.6,379,138335,7945043,12661510,10928632,22304036,172709200,281821435,14823880,405106625,912733161,848341673,1761074834,29586436,171679851,8323535,984618273,848401671,1440326261,392693683,510423474,-117729791,19758119,-97971672,415754,-98387426,0.230034
757798,40010,MERCY MEDICAL CENTER,2710 RIFE MEDICAL LANE,ROGERS,AR,72758,BENTON,22220,U,STH,1,1,2022-07-01,2023-06-30,1265.48,236,86140,15023952,31247211,21314802,21516790,115770862,222785624,25719458,320111482,688786661,918553420,1607340081,20956685,116556397,20980371,716612829,904575004,1254481473,366706360,338556486,28149874,3799711,31949585,,31949585,0.199156
757800,41305,MERCY HOSPITAL WALDRON,1341 WEST 6TH ST.,WALDRON,AR,72958-2230,SCOTT,99904,R,CAH,1,1,2022-07-01,2023-06-30,62.63,12,4380,303755,901308,715176,872977,5656898,4497609,230336,11132265,5212173,19002893,24215066,,,,5241379,19676580,14809204,10108755,10154507,-45752,116379,70627,,70627,0.459725
757801,41329,MERCY HOSPITAL BERRYVILLE,214 CARTER STREET,BERRYVILLE,AR,-72616,CARROLL,99904,R,CAH,1,1,2022-07-01,2023-06-30,91.63,25,9125,1309698,1935118,1932219,2925934,8137868,10869979,678002,17972919,5717813,50263549,55981362,,,,6194700,56695529,44989158,17901071,19007847,-1106776,277063,-829713,,-829713,0.321052
757802,43301,ARKANSAS CHILDRENS NORTHWEST,2601 GENE GEORGE BLVD,SPRINGDALE,AR,72762,WASHINGTON,22220,U,CH,7,2,2022-07-01,2023-06-30,430,24,8760,,,,,42019750,73759479,4905529,102883901,43945384,170738205,214683589,,,,42439384,184040201,112879807,113599778,105471127,8128651,1512248,9640899,,9640899,
757805,50327,LOMA LINDA UNIVERSITY MEDICAL CENTER,11234 ANDERSON STREET,LOMA LINDA,CA,92354,SAN BERNARDINO,40140,U,STH,1,1,2022-07-01,2023-06-30,5419,437,159505,11102153,23042708,15271962,15271962,531556155,1210542963,44925766,1291846551,4950392964,3048446077,7998839041,119982114,530642493,43000510,4844388994,3070599027,6667032348,1247955673,1742099118,-494143445,469262377,-24881068,-1407886,-23473182,0.161504
757806,50351,TORRANCE MEMORIAL MEDICAL CENTER,3330 LOMITA BOULEVARD,TORRANCE,CA,90505-5073,,31084,U,STH,1,2,2022-07-01,2023-06-30,3174.35,493,179945,5128836,13655121,7254701,38603921,354941998,435004480,27721968,740216168,3054220614,2312224383,5366444997,78789643,354941998,26755420,3054720614,2313636555,4577772801,790584368,789946478,637890,60021888,60659778,,60659778,0.137934
757808,50573,EISENHOWER MEDICAL CENTER,39000 BOB HOPE DRIVE,RANCHO MIRAGE,CA,92270-3221,RIVERSIDE,40140,R,STH,1,2,2022-07-01,2023-06-30,3648.23,362,132167,768020,14872477,3624697,48448278,325855984,832763659,52080199,871651757,2315286396,2516835336,4832121732,81038585,325855984,103719244,2395832773,2746412070,4105625781,1036619062,1158619643,-122000581,106883814,-15116767,,-15116767,0.180387
757812,60015,CENTURA ST ANTHONY HOSPITAL,11600 W. 2ND PLACE,LAKEWOOD,CO,80228,DENVER,19740,R,STH,1,2,2022-07-01,2023-06-30,1408.35,220,80300,16769010,14804805,19176315,69508338,156383675,321099703,26528194,395597584,1630843355,1002810356,2633653711,28703585,156383675,12340527,1566038161,1188821388,2271625542,483234007,477483378,5750629,12384795,18135424,-2718471,20853895,0.150209
757815,60049,YAMPA VALLEY MEDICAL CENTER,1024 CENTRAL PARK DRIVE,STEAMBOAT SPRINGS,CO,80487,ROUTT,99906,R,STH,1,2,2022-07-01,2023-06-30,553.09,42,15330,1886339,3538718,3235315,3618307,41908815,82739443,8312610,84000868,51849666,168108996,219958662,9398530,41627816,3250953,48957556,200033485,130715754,118275287,124648258,-6372971,10216956,3843985,-4568238,8412223,0.381894
757816,60104,CENTURA ST. ANTHONY NORTH HOSPITAL,14300 ORCHARD PKWY,WESTMINSTER,CO,80023,ADAMS,19740,U,STH,1,2,2022-07-01,2023-06-30,870.22,118,43070,10371179,5976593,11227581,30233936,95415728,143526447,21394599,187980436,554080926,946032882,1500113808,15313243,95415728,2646550,550944614,1029253886,1311889672,268308828,238942175,29366653,15201332,44567985,-72428,44640413,0.125311
757817,60118,CENTURA ST. ANTHONY SUMMIT HOSPITAL,340 PEAK ONE DR,FRISCO,CO,80443,SUMMIT,99906,R,STH,1,2,2022-07-01,2023-06-30,261,34,12410,4983463,5174915,6051904,7818769,32535929,54006021,4132771,62899366,57437950,248536573,305974523,5002917,32535929,792709,56468088,278192129,213191923,121468294,86541950,34926344,1522225,36448569,-154015,36602584,0.205571
757818,64003,COLORADO MENTAL HEALTH INST-FT LOGAN,3520 W. OXFORD AVE,DENVER,CO,80236-3120,DENVER,19740,U,PH,4,10,2022-07-01,2023-06-30,285,94,34310,,,,,17019915,27887914,2267139,50088567,32887440,659215,33546655,,,,31905580,,34159764,-2254184,51412043,-53666227,40818053,-12848174,,-12848174,
757822,90004,GEORGETOWN UNIVERSITY HOSPITAL,3800 RESERVOIR ROAD  NW,WASHINGTON,DC,20007,DC,47894,U,STH,1,2,2022-07-01,2023-06-30,2722.75,402,146712,10185323,14993812,13930446,13930446,317982293,720215425,34580792,860489922,1896250224,1585450827,3481701051,59396489,320402750,40025534,1896708168,1601462347,2390088536,1108081979,1038197718,69884261,60782399,130666660,,130666660,0.247146
757824,100039,BROWARD HEALTH MEDICAL CENTER,1600 SOUTH ANDREWS AVENUE,FT. LAUDERDALE,FL,-33316,BROWARD,22744,U,STH,1,11,2022-07-01,2023-06-30,2926.22,572,208780,32104028,156803868,63698742,134481736,219273661,408588282,5062181,558232781,1764792173,1020110728,2784902901,30917945,219272661,45033549,1764658144,1020244835,2254582831,530320148,627861943,-97541795,109082447,11540652,,11540652,0.20045
757826,100086,BROWARD HEALTH NORTH,201 EAST SAMPLE ROAD,POMPANO BEACH,FL,33064,BROWARD,22744,U,STH,1,11,2022-07-01,2023-06-30,1336.5,304,110960,16773394,63921897,29703136,52733262,104590167,193252103,3596276,268745643,764962207,576297301,1341259508,12492903,104570741,19144734,764983135,576306374,1087206795,254082714,297842270,-43759556,54984488,11224932,,11224932,0.200368
757829,100191,MEDICAL CENTER OF TRINITY,9330 SR 54,TRINITY,FL,34655,PASCO,45300,U,STH,1,4,2022-07-01,2023-06-30,1133.29,330,120450,17499916,17319452,18816911,40082561,84011106,193012017,18758626,239702699,1950973850,1893907573,3844881423,21103055,83695236,267416,1950820132,1894201682,3537300967,307720847,276875762,30845085,2848103,33693188,56,33693132,0.062343
757854,161314,GUTHRIE COUNTY HOSPITAL,710 NORTH 12TH STREET,GUTHRIE CENTER,IA,50115,GUTHRIE,19780,R,CAH,1,9,2022-07-01,2023-06-30,106.8,25,9125,14533,93463,90532,265214,9679916,12398765,1689408,21193815,2830229,23233663,26063892,,,,2654337,25304082,7608814,20349605,22078681,-1729076,3122036,1392960,,1392960,0.813149
757856,161344,WASHINGTON COUNTY HOSPITAL,400 EAST POLK STREET,WASHINGTON,IA,52353,WASHINGTON,26980,R,CAH,1,9,2022-07-01,2023-06-30,211.42,22,8030,12180,867131,430895,438256,22100740,28221445,2174690,38649774,4662518,74854237,79516755,,,,7715144,82141601,46582705,43274040,50322185,-7048145,12789339,5741194,1410918,4330276,0.486058
757857,161372,BOONE COUNTY HOSPITAL,1015 UNION STREET,BOONE,IA,50036,BOONE,11180,R,CAH,1,9,2022-07-01,2023-06-30,291.86,25,9125,315504,1425895,1068544,2884229,24654700,28646144,3319782,44461536,5822433,77095151,82917584,,,,5963609,88423565,49881609,44505565,53300844,-8795279,9756079,960800,,960800,0.536214
757863,190005,UNIVERSITY MEDICAL CTR. AT NEW ORLEA,2000 CANAL STREET,NEW ORLEANS,LA,70112-3018,ORLEANS PARISH,35380,U,STH,1,2,2022-01-01,2022-12-31,2070.61,310,113150,59517677,15736405,63716981,63716981,161676437,659939515,24526629,567372661,1173558401,1076941629,2250500030,24680983,161692921,62842734,1187402896,1100830399,1616919447,671313848,821615952,-150302104,135441934,-14860170,-14189476,-670694,0.25211
757864,190019,ST. FRANCES CABRINI HOSPITAL,3330 MASONIC DRIVE,ALEXANDRIA,LA,-71301,,10780,U,STH,1,1,2022-07-01,2023-06-30,1276.43,268,97820,7931503,4160434,9003005,9003005,95218065,259436558,14936872,334323182,745947220,1187478319,1933425539,18810372,95218065,19265868,745917365,1187503242,1570405852,363014755,354654623,8360132,19328582,27688714,,27688714,0.172918
757872,200024,CENTRAL MAINE MEDICAL CENTER,300 MAIN STREET,LEWISTON,ME,04240-4500,ANDROSCOGGIN,30340,R,STH,1,2,2022-07-01,2023-06-30,1448.47,187,68255,1198228,26034458,10544333,25073163,164716388,334207960,13818876,348067743,382643486,586231143,968874629,13516909,164603010,29201439,440788278,729686312,773615692,396858898,498924495,-102065597,124657384,22591787,2601216,19990571,0.35925
757873,200039,MAINEGENERAL MEDICAL CENTER,35 MEDICAL CENTER PARKWAY,AUGUSTA,ME,4330,KENNEBEC,99920,R,STH,1,2,2022-07-01,2023-06-30,3125.91,186,67890,241954,20156023,7551557,42696576,271108134,386100378,23642553,475291567,433288227,874952898,1308241125,56378024,272884196,15931751,460245050,976151866,876634383,559762533,659375696,-99613163,95341680,-4271483,8344511,-12615994,0.363306
757874,210002,UNIVERSITY OF MARYLAND MED SYS,22 SOUTH GREENE STREET,BALTIMORE,MD,21201,BALTIMORE CITY,12580,U,STH,1,2,2022-07-01,2023-06-30,6472.65,779,284335,,,,,843299530,2038276540,94911491,1471773287,1458275703,649251940,2107527643,102157253,569555439,67752600,1461361295,674705061,286179260,1849887096,2885505070,-1035617974,1072625292,37007318,-126734682,163742000,0.698341
757875,210018,MEDSTAR MONTGOMERY MEDICAL CENTER,18101 PRINCE PHILIP DRIVE,OLNEY,MD,20832-1512,MONTGOMERY,23224,U,STH,1,2,2022-07-01,2023-06-30,765.84,96,35040,4977569,3627288,7332701,8824358,70147646,128057854,10232513,172083347,93214777,115076418,208291195,15052030,70143393,10843237,93146690,115144504,34576805,173714389,198205500,-24491111,8628198,-15862913,,-15862913,0.826167
757876,210027,UPMC-WESTERN MARYLAND CORP,12500 WILLOWBROOK ROAD,CUMBERLAND,MD,21502,,19060,U,STH,1,2,2022-07-01,2023-06-30,1768.42,200,73000,,,,,136576573,213544972,23245135,249886429,181455213,224312483,405767696,34777947,136576573,10461069,181477978,224312483,93338039,312452422,350121545,-37669123,83361926,45692803,4155398,41537405,0.615836
757877,210043,BALTIMORE WASHINGTON MEDICAL CENTER,301 HOSPITAL DRIVE,GLEN BURNIE,MD,21061,ANNE ARUNDEL,12580,U,STH,1,2,2022-07-01,2023-06-30,2176.32,314,114610,,,,,171542443,279843519,30596937,402718670,320392444,191169997,511562441,39450026,171542443,18915758,320392445,200440656,80585483,440247618,474956962,-34709344,20814974,-13894370,3284630,-17179000,0.787233
757878,210049,UPPER CHESAPEAKE MEDICAL CENTER,520 UPPER CHESAPEAKE DR,BEL AIR,MD,21014,HARFORD,12580,U,STH,1,2,2022-07-01,2023-06-30,1310.57,202,73730,,,,,114906468,189921628,17611081,261927192,197260880,170652015,367912895,20851288,114290134,9057476,197260880,173461989,50540190,320182679,312046096,8136583,20512692,28649275,-268725,28918000,0.711927
757879,210062,MEDSTAR SOUTHERN MARYLAND HOSPITAL C,7503 SURRATTS ROAD,CLINTON,MD,20735,PRINCE GEORGES,47894,U,STH,1,2,2022-07-01,2023-06-30,1110.75,188,68620,6820364,7057742,11773172,11773172,106390747,200744725,874396,249684191,205406803,113742941,319149744,19420397,106385909,36642650,216134922,135599776,81764811,269969887,307135472,-37165585,8541472,-28624113,,-28624113,0.782342
757880,210065,HOLY CROSS GERMANTOWN HOSPITAL,19801 OBSERVATION DRIVE,GERMANTOWN,MD,20876,MONTGOMERY,23224,U,STH,1,1,2022-07-01,2023-06-30,749.18,78,28470,,,,,59583041,98782678,6392241,141042965,86146919,55261467,141408386,11334369,59583041,1667450,86128708,58808411,17785890,127151229,164731620,-37580391,6148455,-31431936,,-31431936,0.997416
757881,222043,VIBRA HOSP OF SOUTHEASTERN MASS,4499 ACUSHNET AVENUE,NEW BEDFORD,MA,2745,BRISTOL,39300,U,LTCH,2,4,2022-01-01,2022-12-31,159.37,90,32850,,,,,13058383,16257612,173965,27349117,155257459,8100,155265559,,,,155405558,,129328745,26076813,29315995,-3239182,3068736,-170446,,-170446,
757882,230095,MYMICHIGAN MEDICAL CTR - WEST BRAN,2463 S M-30,WEST BRANCH,MI,48661,,99923,R,STH,1,2,2022-07-01,2023-06-30,307,88,32120,1573188,1957652,2299062,3503093,22756171,49629140,4183268,56771498,31627172,117824375,149451547,2507894,22756171,4168842,31781293,136165719,102915525,65031487,72385311,-7353824,3970617,-3383207,-8,-3383199,0.379866
757884,230222,MYMICHIGAN MEDICAL CENTER MIDLAND,4000 WELLNESS DRIVE,MIDLAND,MI,48670,MIDLAND,33220,R,STH,1,2,2022-07-01,2023-06-30,2813.05,195,71175,9145746,11199425,13158985,19483563,185283906,404043125,29908388,435442889,496917842,709683362,1206601204,46796205,240692021,8833653,496914540,928053200,887121411,537846329,589327031,-51480702,91801371,40320669,,40320669,0.360884
757898,251319,UNIVERSITY HOSPITAL & CLINICS - HOLM,239 BOWLING GREEN ROAD,LEXINGTON,MS,39095,HOLMES,27140,R,CAH,1,10,2022-07-01,2023-06-30,85.45,25,9125,1071880,1515167,2025258,2025258,7284532,7310012,186635,14007151,2444188,19276335,21720523,,,,3592747,22831534,10297873,16126408,14654009,1472399,8760,1481159,,1481159,0.644881
757899,254008,SOUTH MISSISSIPPI STATE HOSPITAL,823 HWY 589,PURVIS,MS,-39475,LAMAR,25620,U,PH,4,10,2022-07-01,2023-06-30,100.75,50,18250,,,,,4714288,4251370,232300,8497344,9620221,,9620221,,,,9620221,,7762519,1857702,8965658,-7107956,5822389,-1285567,,-1285567,
757902,260050,MOSAIC MEDICAL CENTER - MARYVILLE,2016 SOUTH MAIN STREET,MARYVILLE,MO,64468,NODAWAY,99926,R,STH,1,2,2022-07-01,2023-06-30,238.9,29,10585,3474032,2297619,4564487,4564487,35126449,54047834,3624438,76751100,22344027,136222857,158566884,4582149,35126449,1287074,22345289,141313546,90393584,73265251,102915657,-29650406,7067704,-22582702,-13945320,-8637382,0.48403
757903,260077,MERCY HOSPITAL SOUTH,10010 KENNERLY ROAD,SAINT LOUIS,MO,-63128,ST. LOUIS,41180,U,STH,1,1,2022-07-01,2023-06-30,2225.1,720,262800,10566219,22911781,16521340,32301362,204571725,347543366,28570848,504086678,1078013034,893833595,1971846629,39362216,205373917,40814679,1076824171,962209110,1493715537,545317744,552115091,-6797347,30695061,23897714,-7500,23905214,0.255642
757904,260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DR,NORTH KANSAS CITY,MO,64116,CLAY,28140,U,STH,1,8,2022-07-01,2023-06-30,2662.84,383,139795,17734560,25635757,23041074,23041074,226173251,330452985,33280798,494070489,1165118128,1256384633,2421502761,53567803,226869248,20272801,1177725061,1295734465,1871970439,601489087,554974921,46514166,-9892802,36621364,16974691,19646673,0.204035
757906,270004,BILLINGS CLINIC,2800 TENTH AVENUE NORTH,BILLINGS,MT,59107-7000,YELLOWSTONE,13740,R,STH,1,2,2022-07-01,2023-06-30,3738.25,334,126083,13656832,11044723,18714601,18714601,422699130,596362075,31336946,631132617,549630731,799745561,1349376292,55169532,420864896,39151329,549630728,799745564,477875292,871501000,1022085005,-150584005,118760000,-31824005,,-31824005,0.467722
757909,271303,GRANITE COUNTY MEDICAL CENTER,310 SANSOME STREET,PHILIPSBURG,MT,-59858,GRANITE,99927,R,CAH,1,11,2022-07-01,2023-06-30,28.12,25,9125,215931,23394,238810,459361,2544259,3895318,273364,6388193,3484220,2061470,5545690,,,,3665416,2073550,1008255,4730711,6439577,-1708866,732071,-976795,,-976795,1.15192
757910,271316,FRANCES MAHON DEACONESS HOSPITAL,621 THIRD STREET SOUTH,GLASGOW,MT,59230,VALLEY,99927,R,CAH,1,2,2022-07-01,2023-06-30,197.28,25,9125,254741,2095507,1642997,1642997,20689143,29680554,2248500,39803932,6233510,50346294,56579804,,,,6233510,64481479,18481367,52233622,50369697,1863925,7786699,9650624,2111258,7539366,0.703501
757911,271327,ROSEBUD COMMUNITY HOSPITAL,3,FORSYTH,MT,-59327,ROSEBUD,99927,R,CAH,1,2,2022-07-01,2023-06-30,45.66,26,9490,77771,216169,321658,680735,5229430,5749509,721000,9695964,3521193,4974572,8495765,,,,3554979,5377601,633270,8299310,10978939,-2679629,2395152,-284477,,-284477,1.14127
757912,271340,MARCUS DALY MEMORIAL HOSPITAL,1200 WESTWOOD DRIVE,HAMILTON,MT,-59840,RAVALLI,99927,R,CAH,1,2,2022-07-01,2023-06-30,529.21,25,9125,269473,2452513,1314440,7043203,57453908,51541232,5191333,83558843,33737696,162372870,196110566,,,,34880350,192643156,119912670,107610836,108995140,-1384304,5566765,4182461,,4182461,0.42608
757913,271345,CENTRAL MONTANA MEDICAL CENTER,408 WENDELL AVENUE,LEWISTOWN,MT,59457,FERGUS,99927,R,CAH,1,2,2022-07-01,2023-06-30,208.19,25,9125,63888,1062159,568214,568214,20636660,27536201,2185205,36540428,7679011,69017486,76696497,,,,8261365,78078487,43313679,43026173,48172861,-5146688,7332749,2186061,,2186061,0.476429
757915,281305,KIMBALL COUNTY HOSPITAL,505 SOUTH BURG,KIMBALL,NE,69145,KIMBALL,99928,R,CAH,1,9,2022-07-01,2023-06-30,78.04,15,5475,29689,1061105,702773,1506586,6929746,13937038,782701,18724129,4157853,25360393,29518246,,,,4497118,29354936,14325008,19527046,20866784,-1339738,2521633,1181895,34899,1146996,0.634324
757917,281343,WEST HOLT MEMORIAL HOSPITAL,406 WEST NEELY STREET,ATKINSON,NE,68713-0200,HOLT,99928,R,CAH,1,2,2022-07-01,2023-06-30,77.55,17,6205,40891,42783,55865,354685,5462765,11762553,1194770,12718017,2112921,14319364,16432285,,,,2164675,14812996,4718003,12259668,17225318,-4965650,4288134,-677516,,-677516,0.773965
757918,291303,BATTLE MOUNTAIN GENERAL HOSPITAL,535 S HUMBOLDT STREET,BATTLE MOUNTAIN,NV,89820,LANDER,99929,R,CAH,1,11,2022-07-01,2023-06-30,61.43,5,1825,,955939,842218,3354512,7398939,10028160,1884895,16322091,2872668,14979407,17852075,,,,2916317,16305118,6753534,12467901,17427099,-4959198,8846316,3887118,16143,3870975,0.914297
757919,291308,HUMBOLDT GENERAL HOSPITAL,118 EAST HASKELL,WINNEMUCCA,NV,-89445,HUMBOLDT,99929,R,CAH,1,11,2022-07-01,2023-06-30,298.79,25,9125,255605,6187462,3368794,10122411,31637750,49047627,6233877,68190757,36946213,96650093,133596306,,,,38886052,100073769,80197035,58762786,80685377,-21922591,10167820,-11754771,300400,-12055171,0.510424
757920,300019,CHESHIRE MEDICAL CENTER,580 COURT STREET,KEENE,NH,-3431,CHESHIRE,99930,R,STH,1,2,2022-07-01,2023-06-30,782.83,86,31390,4884909,7103882,7235304,13046163,60702323,228459165,8867571,225355201,127845656,559708439,687554095,20486506,60702323,14300585,137015240,713862542,614652782,236225000,289161388,-52936388,33680384,-19256004,,-19256004,0.327764
757921,310010,PRINCETON HEALTHCARE SYSTEM,ONE PLAINSBORO ROAD,PLAINSBORO,NJ,8536,MIDDLESEX,35154,U,STH,1,2,2022-07-01,2023-06-30,1932.67,206,75190,12434173,18226725,15689833,25643234,194431357,390642503,30486925,481286347,1147790764,1657591098,2805381862,59017923,194431357,25404436,1147050483,1809209407,2368444026,587815864,621382860,-33566996,22485048,-11081948,,-11081948,0.171558
757922,314011,UNIVERSITY BEHAVIORAL HEALTHCARE,671 HOES LANE WEST,PISCATAWAY,NJ,08855-1392,MIDDLESEX,35154,U,PH,4,10,2022-07-01,2023-06-30,846.48,64,23360,,,,,69225336,75262319,3706444,94755636,27765696,78527660,106293356,,,,27765696,78527660,68186397,38106959,144487655,-106380696,100276123,-6104573,,-6104573,
757923,314016,GREYSTONE PARK PSYCH. HOSPITAL,CENTRAL AVENUE,GREYSTONE PARK,NJ,7950,MORRIS,35084,U,PH,4,10,2022-07-01,2023-06-30,,468,170820,,,,,97752847,18140719,8022841,184767452,1441143,,1441143,,97752847,,3080991,,,3080991,115893566,-112812575,,-112812575,,-112812575,
757924,320001,UNIVERSITY OF NEW MEXICO HOSPITAL,2211 LOMAS BLVD NE,ALBUQUERQUE,NM,87106-2745,,10740,R,STH,1,10,2022-07-01,2023-06-30,6320.76,554,202201,25581458,76173405,63106855,63106855,476048640,1030862102,37610855,1211318641,1142669836,1306036074,2448705910,101134339,477865776,156779918,1142669836,1306036074,1141921201,1306784709,1506910742,-200126033,191447577,-8678456,2849940,-11528396,0.494677
757927,320084,ROOSEVELT GENERAL HOSPITAL,42121 US HIGHWAY 70,PORTALES,NM,-88130,ROOSEVELT,99932,R,STH,1,11,2022-07-01,2023-06-30,197.13,12,4380,297922,3108335,1536817,4765611,20419956,25171972,1892823,40230106,5428187,95395760,100823947,1959007,20332704,1299131,5465384,100158124,69187692,36435816,45591928,-9156112,2947915,-6208197,,-6208197,0.399013
757938,332008,HENRY J. CARTER,50 WATER STREET,NEW YORK,NY,10004,NEW YORK,35614,U,LTCH,2,12,2022-07-01,2023-06-30,512.99,201,73365,,,,,53066752,110012366,23457822,153618340,152888259,730081,153618340,,53066752,,298055205,,170001358,128053847,163079118,-35025271,6898852,-28126419,,-28126419,
757942,351302,MCKENZIE COUNTY HEALTHCARE SYSTEM,516 NORTH MAIN,WATFORD CITY,ND,-58854,MCKENZIE,99935,R,CAH,1,2,2022-07-01,2023-06-30,177.15,24,8760,136303,4948359,3751193,5347335,17933688,34280734,7684603,41794091,16656213,40554978,57211191,,,,19622927,46224790,23470255,42377462,52214422,-9836960,11684629,1847669,,1847669,0.730523
757943,351308,NELSON COUNTY HEALTH SYSTEM-HOSPITAL,200 NORTH MAIN STREET,MCVILLE,ND,-58254,NELSON,99935,R,CAH,1,2,2022-07-01,2023-06-30,23.02,19,6935,,72198,92958,759505,4072599,4866021,311859,8342675,4272847,2003881,6276728,,,,5152198,2003879,1,7156076,8938620,-1782544,954599,-827945,,-827945,1.329144
757947,364036,ARROWHEAD HOSPITAL,1725 TIMBERLINE ROAD,MAUMEE,OH,43537,,45780,U,PH,4,4,2022-01-01,2022-12-31,77.05,48,17520,,,,,4963361,4184689,300934,7883843,18013080,2224400,20237480,,,,18013080,2224400,10546149,9691331,9083515,607816,11852,619668,,619668,
757951,370008,NORMAN REGIONAL HOSPITAL AUTHORITY,3300 HEALTHPLEX PKWY,NORMAN,OK,73072-9749,CLEVELAND,36420,U,STH,1,8,2022-07-01,2023-06-30,2879.33,322,117530,7086763,29660041,12124252,12124252,275565478,309047877,22826907,369405521,958191702,1352015935,2310207637,34584949,275565478,11612840,950524807,1633256284,2043050017,540731074,584613355,-43882281,25343497,-18538784,,-18538784,0.159901
757952,370013,MERCY HOSPITAL OKC,4300 WEST MEMORIAL ROAD,OKLAHOMA CITY,OK,73120-8304,OKLAHOMA,36420,U,STH,1,1,2022-07-01,2023-06-30,2380.9,344,125560,13139399,27355965,18866104,28198912,209084399,394279198,36185357,548608230,833687604,1840314730,2674002334,34197648,209084399,7057086,830979438,1901828673,2058554472,674253639,603363597,70890042,17663599,88553641,-572,88554213,0.205164
757954,370020,MERCY HOSPITAL ADA,431 NORTH MONTE VISTA,ADA,OK,-74820,PONTOTOC,99937,R,STH,1,1,2022-07-01,2023-06-30,427.12,108,39420,2271233,6292360,3992365,7113405,43808723,68638712,3730895,107183679,124642789,276056909,400699698,6055614,43808723,3483718,123700334,289637998,303755451,109582881,112447435,-2864554,1927511,-937043,,-937043,0.267491
757955,370056,COMANCHE COUNTY MEMORIAL HOSPITAL,3401 W GORE,LAWTON,OK,-73502,,30020,U,STH,1,9,2022-07-01,2023-06-30,1427.55,201,73365,1225551,33561498,7719969,20285861,126413011,201640982,9097611,216525283,446229089,692297341,1138526430,9478892,126413011,10048073,449115499,811568785,956515131,304169153,328053993,-23884840,25666461,1781621,,1781621,0.19018
757956,370078,OSU MEDICAL CENTER,744 WEST 9TH STREET,TULSA,OK,-74127,TULSA,46140,R,STH,1,10,2022-07-01,2023-06-30,952.7,119,43795,3678157,13766079,7247124,18484036,69869311,122978192,7199892,147554555,326812430,255540916,582353346,9637819,69869311,22162491,332105472,259364238,448736689,142733021,192847503,-50114482,68280071,18165589,,18165589,0.253376
